prediction,label,sentID,text,speakerID
1,0,SFNQ_1112,I I made sure I paid for the post office,S0237
1,0,SFNQ_180,hang on twenty-ninth,S0192
1,0,SG56_1553,get on that,S0401
1,0,SG56_1592,come back again,S0401
1,0,SGYW_863,sort of trying to just er make them repeat it,S0070
1,0,SJB4_1491,have you distributed the cards?,S0192
1,0,SJB4_2520,give me a chance,S0199
1,0,SJB4_2973,get on with it,S0197
1,0,SJB4_3581,you can only throw one dice,S0197
1,0,SJRQ_1383,just tell them straight away,S0391
1,0,SJSC_893,did you get a nice bonus?,S0439
1,0,SKRC_1451,but hang on if you pay if your contract's with the letting agent and,S0440
1,0,SLBG_173,why don't you bring down your Ipad and your laptop,S0415
1,0,SLSS_2338,fuck off,S0584
1,0,SM8E_464,oh hang on no you won't be thirty will you or will you? yes,S0653
1,0,SM99_1213,do you wanna make a den?,S0337
1,0,SMW8_2152,let me show you on mine,S0256
1,0,SMW8_3741,you you could beg,S0255
1,0,SMW8_3962,can you turn it this way?,S0255
1,0,SMZV_1814,do you want me to get?,S0350
1,0,SN98_1046,can you manage there mum?,S0198
1,0,SN98_611,give it to charity,S0229
1,0,SNE5_161,don't let anyone take your favourite chair,S0393
1,0,SP9F_1580,can you get a,S0335
1,0,SQ36_330,that actually would be really really nice but I don't erm,S0336
1,0,SR5H_185,can we pass the stuffing along or?,S0602
1,0,SR5H_645,smile and give me,S0601
1,0,SR5J_1567,is she nice?,S0495
1,0,SR87_69,so go on tell me more then,S0417
1,0,SRNC_1284,I just a thought,S0584
1,0,SRNC_766,I don't I don't wanna send,S0587
1,0,STKH_410,are you gonna post it on her timeline?,S0167
1,0,SUUE_194,you've gotta give them give them the whole day you've,S0371
1,0,SUVQ_1342,but I must insist,S0235
1,0,SUVQ_1783,you come back and you're like a pint in a pub is five pounds,S0192
1,0,SUVQ_285,do you wanna,S0236
1,0,SUVQ_420,do you guys have an Apple?,S0192
1,0,SUVQ_4848,you have a balcony there,S0236
1,0,SUVQ_4996,so you have like a bowl,S0235
1,0,SUVQ_8558,no that's fair bring it up but I er,S0192
1,0,SV28_716,I've had a few slices of marmite toast,S0198
1,0,SV28_792,do you think they're cooked yet?,S0198
1,0,SWVQ_4,you please,S0417
1,0,SWY3_1676,shall I start?,S0393
1,0,SWY3_73,I should've brought the words,S0545
1,0,SXJP_214,oh shut up you charmer,S0439
1,0,SYEF_726,keep it on his,S0525
1,0,SYWB_80,I don't know be a little bit mean to me,S0416
1,0,SYWR_587,should we,S0393
0,1,S35K_2387,yeah I mean if you can send me if you can send me an example of a treatment,S0372
0,1,S3CP_116,but you can explain things slowly to me,S0390
0,1,S3LE_2068,couldn't bother you for another Coke could I?,S0343
0,1,S5XD_134,you should stay with me cos I've got a high temperature,S0196
0,1,S5XD_277,do you have a cup and a teabag or?,S0192
0,1,S632_1606,I need a pee can you stop people from coming in here?,S0222
0,1,S632_2208,have you got some beer?,S0202
0,1,S632_2321,can you hold him still so I can touch him without moving? cos the movement is what I don't like,S0222
0,1,S632_6885,what about my massage that you were supposed to give me earlier?,S0208
0,1,S632_7226,so why won't you talk to me?,S0221
0,1,S632_7311,can we all guess for this by the way?,S0208
0,1,S6BS_1067,I wanna see this as well,S0592
0,1,S6BS_114,you can put it here if you want,S0600
0,1,S6BS_2837,that's now you guys take your bets back cos,S0602
0,1,S6KV_309,look look look,S0415
0,1,S6W8_293,oh no don't say that I hate cockroaches,S0492
0,1,S6W8_3381,I'll take that yellow,S0494
0,1,S6W8_5227,you've got to pay,S0493
0,1,S985_1928,I'm Street Viewing it leave me alone,UNKMALE
0,1,SA2J_2959,could you make a coffee,S0525
0,1,SAUR_1420,look at it,S0192
0,1,SAUR_4840,right do you have something to help with the die roll?,S0192
0,1,SDFL_1637,look we've got to scrape this off the lid here look otherwise that will,S0012
0,1,SDS7_80,oh please will you er sponge up all the knowledge so that you can report back to me when you get home?,S0441
0,1,SEKZ_2377,job done can I borrow your your wife's car?,S0353
0,1,SGSY_5,or I can have a chat to that guy,S0261
0,1,SH2P_114,are you gonna let me teach you some PJJ or are you still gonna be like?,S0228
0,1,SHJE_1039,don't don't just say it just cos I said it cos I'm guessing so,S0594
0,1,SJB4_5475,let's talk about somebody else you look after a child from the age of zero to five and during that time you get massively subsidised for work you don't have to work many hours you could do your work at home,S0192
0,1,SJRQ_1458,look I don't know I need you to show me okay,S0390
0,1,SR5J_1019,and I'll take them maroon ones as well,S0494
0,1,SR5J_1553,can it not be done in the morning?,S0495
0,1,SR5J_481,and another one off the top please?,S0494
0,1,SR5J_589,pick two up,S0495
0,1,SR5J_89,remind me what the coloured ones do again?,S0495
0,1,SR7C_1298,can you get train passes for,S0623
0,1,STKH_451,have a look is it still recording?,S0104
0,1,SUC7_291,I don't want the rest of that,S0621
0,1,SV28_20,do we have any pen and paper? because we haven't got,S0198
0,1,SWY3_886,let him have a go,S0391
0,1,SYEF_718,oh dear be quick,S0525
